v2_line,v2_queue,stage,family,v2_dup2,contract_path,group_key,catalog_nodekey_v2,catalog_nodekey_parsed,queue_in_registry
6599,contract:template:select,E4,contracts,no,docs/CognitiveBrain/contracts/neurons/E4/contract--template--select.md,E4|contract--template--select,,,no
6621,credit:check:order,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--check--order.md,E4|credit--check--order,,,no
6643,credit:data:fetch-anaf,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--data--fetch-anaf.md,E4|credit--data--fetch-anaf,e4:credit:data-fetch-anaf,e4:credit:data-fetch-anaf,yes
6668,credit:data:fetch-bilant,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--data--fetch-bilant.md,E4|credit--data--fetch-bilant,e4:credit:data-fetch-bilant,e4:credit:data-fetch-bilant,yes
6693,credit:data:fetch-dosare,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--data--fetch-dosare.md,E4|credit--data--fetch-dosare,,,no
6715,credit:data:fetch-insolventa,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--data--fetch-insolventa.md,E4|credit--data--fetch-insolventa,,,no
6737,credit:limit:calculate,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--limit--calculate.md,E4|credit--limit--calculate,e4:credit:limit-calculate,e4:credit:limit-calculate,yes
6762,credit:profile:create,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--profile--create.md,E4|credit--profile--create,e4:credit:profile-create,e4:credit:profile-create,yes
6787,credit:release:order,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--release--order.md,E4|credit--release--order,,,no
6809,credit:reserve:expire,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--reserve--expire.md,E4|credit--reserve--expire,,,no
6831,credit:reserve:hold,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--reserve--hold.md,E4|credit--reserve--hold,,,no
6853,credit:score:calculate,E4,credit,no,docs/CognitiveBrain/contracts/neurons/E4/credit--score--calculate.md,E4|credit--score--calculate,e4:credit:score-calculate,e4:credit:score-calculate,yes
6878,hitl:approval:contract-clause,E4,hitl,no,docs/CognitiveBrain/contracts/neurons/E4/hitl--approval--contract-clause.md,E4|hitl--approval--contract-clause,,,no
6900,hitl:approval:credit-limit,E4,hitl,no,docs/CognitiveBrain/contracts/neurons/E4/hitl--approval--credit-limit.md,E4|hitl--approval--credit-limit,e4:hitl:credit-limit,e4:hitl:credit-limit,yes
6925,hitl:approval:credit-override,E4,hitl,no,docs/CognitiveBrain/contracts/neurons/E4/hitl--approval--credit-override.md,E4|hitl--approval--credit-override,e4:hitl:credit-override,e4:hitl:credit-override,yes
6950,hitl:approval:refund-large,E4,hitl,no,docs/CognitiveBrain/contracts/neurons/E4/hitl--approval--refund-large.md,E4|hitl--approval--refund-large,e4:hitl:refund-large,e4:hitl:refund-large,yes
6975,hitl:approval:return,E4,hitl,no,docs/CognitiveBrain/contracts/neurons/E4/hitl--approval--return.md,E4|hitl--approval--return,,,no
6997,hitl:escalation:overdue,E4,hitl,no,docs/CognitiveBrain/contracts/neurons/E4/hitl--escalation--overdue.md,E4|hitl--escalation--overdue,e4:hitl:escalation-overdue,e4:hitl:escalation-overdue,yes
7022,hitl:investigation:payment,E4,hitl,no,docs/CognitiveBrain/contracts/neurons/E4/hitl--investigation--payment.md,E4|hitl--investigation--payment,e4:hitl:payment-investigation,e4:hitl:payment-investigation,yes
7047,hitl:task:call-client,E4,hitl,no,docs/CognitiveBrain/contracts/neurons/E4/hitl--task--call-client.md,E4|hitl--task--call-client,,,no
7069,hitl:task:resolve,E4,hitl,no,docs/CognitiveBrain/contracts/neurons/E4/hitl--task--resolve.md,E4|hitl--task--resolve,e4:hitl:task-resolve,e4:hitl:task-resolve,yes
